gene	CNT
GENE.54295	802
GENE.71149	2136
GENE.33778	362
GENE.55046	24
GENE.83940	3464
GENE.23014	3846
GENE.661	246
GENE.67768	772
GENE.44852	216
GENE.2047	92
GENE.32596	2276
GENE.17926	2300
GENE.39241	590
GENE.29675	4608
GENE.8322	260
GENE.17912	5838
GENE.34390	76
GENE.20917	754
GENE.81593	3024
GENE.11282	674
GENE.31848	712
GENE.45364	5058
GENE.3498	640
GENE.13866	1080
GENE.69503	976
GENE.70049	686
GENE.84620	446
GENE.76378	170
GENE.64821	212
GENE.39010	870
GENE.27457	860
GENE.43274	560
GENE.82822	634
GENE.85523	702
GENE.22605	490
GENE.61659	19420
GENE.40685	2896
GENE.10177	1318
GENE.550	2206
GENE.24606	1460
GENE.38655	70
GENE.85987	534
GENE.84006	8136
GENE.43447	580
GENE.45926	1948
GENE.78518	724
GENE.80698	128
GENE.83100	5776
GENE.14664	2396
GENE.2143	642
GENE.68569	1156
GENE.52522	11176
GENE.36727	2092
GENE.32312	66
GENE.9764	12
GENE.13129	264
GENE.15840	1346
GENE.7237	186
GENE.28312	4
GENE.36084	80
GENE.53773	56
GENE.38349	212
GENE.15385	686
GENE.40565	8124
GENE.65247	502
GENE.18485	2960
GENE.83705	2124
GENE.87389	994
GENE.31954	11242
GENE.12684	3824
GENE.48243	274
GENE.26814	2572
GENE.68278	2264
GENE.63748	5340
GENE.77930	124
GENE.87009	1310
GENE.21192	664
GENE.50589	10060
GENE.32055	666
GENE.29659	646
GENE.3596	278
GENE.78840	1974
GENE.6966	1446
GENE.83784	1598
GENE.59556	586
GENE.5238	38
GENE.39376	608
GENE.79737	4832
GENE.34199	1396
GENE.8505	2814
GENE.17082	1604
GENE.61012	2282
GENE.27454	822
GENE.3429	622
GENE.23169	202
GENE.65673	9644
GENE.37835	224
GENE.37810	106
GENE.68213	328
GENE.14826	728
GENE.12518	88
GENE.7784	64
GENE.58406	5022
GENE.30878	174
GENE.40993	102
GENE.70201	532
GENE.48407	1108
GENE.45583	1296
GENE.15237	3532
GENE.2811	9134
GENE.30041	82
GENE.8770	128
GENE.81677	402
GENE.77067	454
GENE.1032	508
GENE.23737	4
GENE.70310	60
GENE.29546	800
GENE.43154	388
GENE.40265	3518
GENE.15432	1384
GENE.19266	19632
GENE.83198	722
GENE.86757	276
GENE.31117	2496
GENE.32223	762
GENE.21116	856
GENE.59768	146
GENE.57354	2028
GENE.52433	872
GENE.66652	2174
GENE.29834	9692
GENE.45275	1246
GENE.35006	1848
GENE.36270	6692
GENE.53803	2222
GENE.85968	10
GENE.60062	74
GENE.72045	644
GENE.42687	34
GENE.6379	180
GENE.37419	248
GENE.6920	454
GENE.23763	188
GENE.33246	1676
GENE.41805	1070
GENE.14986	1056
GENE.55637	98
GENE.27048	1024
GENE.85921	90
GENE.33597	1978
GENE.3801	1468
GENE.78375	674
GENE.66725	90
GENE.19197	538
GENE.64200	2444
GENE.70734	756
GENE.32561	752
GENE.2747	11662
GENE.23724	28
GENE.74294	362
GENE.51173	514
GENE.27030	358
GENE.7151	296
GENE.16480	1604
GENE.83405	10240
GENE.47783	414
GENE.56556	390
GENE.22525	192
GENE.44103	108
GENE.18523	1796
GENE.46387	2366
GENE.76344	106
GENE.77282	256
GENE.82490	1386
GENE.70849	400
GENE.41812	252
GENE.69392	3978
GENE.23146	1148
GENE.82846	432
GENE.62625	426
GENE.59018	1376
GENE.29589	1768
GENE.19703	300
GENE.39029	594
GENE.25360	142
GENE.58860	482
GENE.19652	708
GENE.75081	1856
GENE.83734	702
GENE.42522	30
GENE.71279	4248
GENE.11936	580
GENE.72211	46
GENE.74891	1848
GENE.28090	1666
GENE.83166	1970
GENE.15116	834
GENE.85398	2290
GENE.58261	3370
GENE.9882	746
GENE.30737	214
GENE.21658	256
GENE.18517	322
GENE.50806	2604
GENE.53564	16
GENE.57477	342
GENE.25358	918
GENE.22777	372
GENE.61963	3468
GENE.43935	218
GENE.1066	8418
GENE.6599	1728
GENE.72192	138
GENE.8251	826
GENE.4167	3004
GENE.53342	1622
GENE.4601	1004
GENE.71658	908
GENE.22718	772
GENE.63186	680
GENE.43295	2154
GENE.28213	28
GENE.70079	914
GENE.38802	50
GENE.48236	50
GENE.37159	272
GENE.52380	4184
GENE.38235	2262
GENE.87275	310
GENE.74496	9782
GENE.25844	660
GENE.45201	4174
GENE.24811	260
GENE.51804	1212
GENE.48066	598
GENE.34451	1654
GENE.7454	286
GENE.6517	404
GENE.1097	3966
GENE.50270	418
GENE.28437	1342
GENE.1007	910
GENE.76823	426
GENE.16189	256
GENE.67843	1104
GENE.37647	2410
GENE.68124	2480
GENE.85380	3460
GENE.67451	362
GENE.39075	438
GENE.23952	7462
GENE.59004	6220
GENE.53978	112
GENE.48846	1398
GENE.44361	564
GENE.11731	2696
GENE.30391	844
GENE.53642	144
GENE.15289	1208
GENE.83618	4772
GENE.4073	1198
GENE.17854	2578
GENE.32181	408
GENE.28146	302
GENE.86501	3344
GENE.34128	908
GENE.61396	12082
GENE.2352	456
GENE.7983	6706
GENE.78420	5820
GENE.4832	164
GENE.30633	1538
GENE.82696	1664
GENE.70152	1036
GENE.6307	4980
GENE.20362	866
GENE.63232	66
GENE.3035	716
GENE.56658	278
GENE.42121	824
GENE.52238	526
GENE.15270	768
GENE.24966	452
GENE.3930	584
GENE.12061	276
GENE.31134	2068
GENE.40659	384
GENE.77985	2202
GENE.77060	104
GENE.51431	4256
GENE.27937	400
GENE.75470	802
GENE.68235	108
GENE.18574	3764
GENE.85436	1094
GENE.43625	2252
GENE.15342	466
GENE.79793	17276
GENE.34898	1378
GENE.81151	238
GENE.73532	208
GENE.20620	120
GENE.27401	88
GENE.79604	540
GENE.7837	178
GENE.55216	3596
GENE.51083	4520
GENE.36096	166
GENE.12829	868
GENE.75430	4156
GENE.83918	5212
GENE.31627	2644
GENE.34599	1472
GENE.54954	176
GENE.38304	398
GENE.85509	64
GENE.39540	170
GENE.44572	786
GENE.83969	900
GENE.42252	220
GENE.62125	136
GENE.155	120
GENE.55289	1648
GENE.30371	4868
GENE.18019	336
GENE.76552	396
GENE.6449	5488
GENE.15884	60
GENE.36349	1954
GENE.3948	2910
GENE.16021	518
GENE.11246	2112
GENE.78183	292
GENE.22304	1004
GENE.52168	258
GENE.17436	1072
GENE.64474	96
GENE.21007	622
GENE.13645	356
GENE.11433	2
GENE.4302	900
GENE.52147	586
GENE.44672	296
GENE.55919	3576
GENE.61166	24
GENE.55517	118
GENE.73733	546
GENE.6905	3106
GENE.44205	3472
GENE.22145	132
GENE.57160	654
GENE.35688	150
GENE.35106	472
GENE.59736	62
GENE.60138	688
GENE.49690	3576
GENE.46142	1314
GENE.47637	2358
GENE.35020	1432
GENE.6693	22
GENE.83864	1924
GENE.68894	1672
GENE.982	16
GENE.46099	76
GENE.25641	938
GENE.34334	90
GENE.13698	9330
GENE.85800	7892
GENE.18323	526
GENE.10389	236
GENE.10239	2708
GENE.64139	1100
GENE.54246	2924
GENE.43212	2104
GENE.42634	7076
GENE.65917	2802
GENE.61920	404
GENE.9829	452
GENE.80406	2810
GENE.9861	524
GENE.32607	1334
GENE.24641	300
GENE.65527	334
GENE.46497	4282
GENE.77457	2310
GENE.16450	386
GENE.66706	3940
GENE.70090	250
GENE.50374	4358
GENE.39417	190
GENE.48937	9804
GENE.49999	1664
GENE.85020	86
GENE.30534	160
GENE.23669	592
GENE.17158	608
GENE.74195	316
GENE.34327	108
GENE.6347	6422
GENE.61247	3340
GENE.37856	194
GENE.6011	476
GENE.4273	4152
GENE.71050	10126
GENE.42899	1164
GENE.68694	1418
GENE.68998	1788
GENE.68322	546
GENE.86973	94
GENE.35198	418
GENE.13131	40
GENE.22295	4324
GENE.86902	392
GENE.32112	1098
GENE.10240	7264
GENE.2354	2148
GENE.31678	16118
GENE.37533	326
GENE.5911	560
GENE.79297	88
GENE.25684	470
GENE.84283	1140
GENE.82754	188
GENE.54442	2526
GENE.85432	5282
GENE.60029	104
GENE.78395	1258
GENE.159	40
GENE.84729	3124
GENE.56067	606
GENE.60395	3128
GENE.81026	96
GENE.77608	2732
GENE.40410	814
GENE.42175	756
GENE.31752	1672
GENE.6060	1472
GENE.65354	1834
GENE.48025	440
GENE.27536	2346
GENE.73378	90
GENE.26264	7686
GENE.24086	1158
GENE.50779	6288
GENE.43222	5976
GENE.70106	268
GENE.66911	216
GENE.22738	440
GENE.3438	1140
GENE.76530	568
GENE.55590	4610
GENE.70163	54
GENE.60786	1348
GENE.36829	284
GENE.44841	856
GENE.56781	3770
GENE.57134	1194
GENE.71058	5036
GENE.55063	1646
GENE.40195	718
GENE.3269	296
GENE.41756	44
GENE.1533	24
GENE.14790	82
GENE.5047	7550
GENE.41785	1238
GENE.43115	620
GENE.59532	540
GENE.27313	600
GENE.7689	640
GENE.66812	1402
GENE.81837	1216
GENE.63107	1800
GENE.30498	962
GENE.6045	2
GENE.40887	4970
GENE.14364	566
GENE.4212	216
GENE.8393	2250
GENE.38149	2244
GENE.87465	1112
GENE.47351	534
GENE.77804	160
GENE.67553	1542
GENE.43235	1434
GENE.87084	42
GENE.33983	482
GENE.71083	368
GENE.74227	6770
GENE.47807	506
GENE.6407	990
GENE.59876	450
GENE.48881	2954
GENE.43436	974
GENE.45869	1290
GENE.8342	1658
GENE.79001	286
GENE.9350	650
GENE.46249	2684
GENE.33479	320
GENE.72020	426
GENE.23905	232
GENE.80860	202
GENE.6957	172
GENE.23708	456
GENE.5128	840
GENE.74233	494
GENE.45729	234
GENE.51590	3754
GENE.64604	1958
GENE.19498	2064
GENE.49892	3896
GENE.26932	286
GENE.1683	686
GENE.51582	328
GENE.34478	728
GENE.57867	402
GENE.38072	414
GENE.62101	576
GENE.13790	3890
GENE.67279	860
