gene	CNT
GENE.17082	9372
GENE.61012	47498
GENE.27454	18484
GENE.3429	10398
GENE.23169	1042
GENE.65673	187222
GENE.37835	4390
GENE.37810	558
GENE.68213	2354
GENE.14826	4376
GENE.12518	462
GENE.7784	498
GENE.58406	107676
GENE.30878	1102
GENE.40993	702
GENE.70201	11468
GENE.48407	5996
GENE.45583	6506
GENE.15237	93172
GENE.2811	215560
GENE.30041	544
GENE.8770	610
GENE.81677	758
GENE.1032	7590
GENE.77067	8862
GENE.23737	34
GENE.70310	604
GENE.29546	5214
GENE.43154	9424
GENE.40265	66356
GENE.15432	30518
GENE.19266	543696
GENE.83198	3102
GENE.86757	2506
GENE.31117	15444
GENE.32223	13688
GENE.21116	7466
GENE.59768	696
GENE.57354	49898
GENE.52433	13352
GENE.66652	49724
GENE.45275	23744
GENE.29834	288602
GENE.35006	44790
GENE.36270	136906
GENE.53803	20864
GENE.85968	32
GENE.72045	4064
GENE.60062	348
GENE.42687	510
GENE.6379	914
GENE.37419	1374
GENE.6920	5308
GENE.23763	1032
GENE.33246	15370
GENE.41805	13646
GENE.14986	27918
GENE.55637	2632
GENE.27048	5286
GENE.85921	606
GENE.33597	38886
GENE.3801	32348
GENE.66725	520
GENE.19197	6270
GENE.78375	3814
GENE.64200	50702
GENE.32561	15812
GENE.70734	5066
GENE.2747	283024
GENE.23724	144
GENE.74294	2178
GENE.51173	8294
GENE.27030	2048
GENE.7151	1804
GENE.16480	9814
GENE.83405	231838
GENE.22525	1080
GENE.47783	2154
GENE.44103	1984
GENE.56556	10110
GENE.18523	42470
GENE.46387	61820
GENE.76344	676
GENE.77282	6634
GENE.82490	9126
GENE.41812	1540
GENE.70849	2722
GENE.69392	98898
GENE.23146	23486
GENE.59018	8402
GENE.29589	21164
GENE.62625	11554
GENE.82846	5326
GENE.19703	2136
GENE.39029	3872
GENE.25360	880
GENE.58860	2662
GENE.19652	4938
GENE.75081	9870
GENE.83734	4368
GENE.42522	250
GENE.71279	59270
GENE.72211	340
GENE.11936	2872
GENE.74891	54864
GENE.28090	9834
GENE.83166	23434
GENE.85398	52748
GENE.58261	91162
GENE.15116	14418
GENE.9882	4040
GENE.21658	3080
GENE.30737	1232
GENE.18517	9698
GENE.50806	15044
GENE.53564	266
GENE.57477	6930
GENE.25358	17906
GENE.22777	2176
GENE.61963	33366
GENE.43935	2674
GENE.1066	138482
GENE.6599	30676
GENE.8251	4966
GENE.72192	2346
GENE.4167	76602
GENE.53342	27092
GENE.4601	16922
GENE.22718	7326
GENE.71658	18952
GENE.63186	13700
GENE.43295	26336
GENE.28213	152
GENE.70079	5494
GENE.38802	818
GENE.37159	1290
GENE.48236	714
GENE.38235	55342
GENE.52380	95644
GENE.87275	2118
GENE.74496	258800
GENE.25844	8138
GENE.45201	68996
GENE.24811	1306
GENE.51804	14778
GENE.48066	15522
GENE.34451	34794
GENE.7454	1850
GENE.6517	2454
GENE.1097	107598
GENE.28437	19906
GENE.50270	2520
GENE.1007	5212
GENE.76823	1298
GENE.16189	1346
GENE.67843	11054
GENE.37647	44992
GENE.68124	52182
GENE.85380	62296
GENE.67451	2216
GENE.39075	9132
GENE.23952	174248
GENE.59004	100620
GENE.53978	608
GENE.48846	9008
GENE.11731	47494
GENE.44361	7394
GENE.30391	5324
GENE.53642	978
GENE.83618	83484
GENE.15289	32308
GENE.4073	20480
GENE.17854	38852
GENE.32181	1552
GENE.28146	1876
GENE.86501	55778
GENE.34128	4734
GENE.61396	265242
GENE.2352	3070
GENE.78420	155944
GENE.7983	160416
GENE.4832	3328
GENE.30633	13612
GENE.70152	6842
GENE.82696	27870
GENE.6307	119522
GENE.20362	5166
GENE.63232	298
GENE.56658	1658
GENE.3035	4038
GENE.42121	18352
GENE.52238	3082
GENE.24966	2394
GENE.15270	2526
GENE.3930	3638
GENE.12061	1934
GENE.31134	35054
GENE.40659	2410
GENE.77985	21002
GENE.77060	1014
GENE.51431	112972
GENE.75470	4840
GENE.27937	1568
GENE.68235	578
GENE.85436	26742
GENE.43625	13446
GENE.18574	96998
GENE.15342	2794
GENE.79793	503666
GENE.34898	7860
GENE.81151	6114
GENE.73532	4906
GENE.20620	1144
GENE.27401	1372
GENE.79604	3296
GENE.7837	1248
GENE.55216	79480
GENE.51083	98960
GENE.36096	906
GENE.12829	6784
GENE.75430	100854
GENE.31627	59034
GENE.83918	145214
GENE.34599	8412
GENE.54954	3128
GENE.38304	3788
GENE.85509	542
GENE.39540	1190
GENE.44572	7428
GENE.83969	22012
GENE.62125	934
GENE.42252	4194
GENE.155	824
GENE.55289	24826
GENE.30371	81966
GENE.18019	6482
GENE.76552	9740
GENE.6449	140846
GENE.15884	130
GENE.36349	48944
GENE.3948	42074
GENE.11246	38662
GENE.16021	7504
GENE.78183	1644
GENE.22304	9732
GENE.52168	1614
GENE.17436	15884
GENE.64474	698
GENE.21007	3260
GENE.13645	4312
GENE.11433	16
GENE.52147	3278
GENE.4302	4520
