gene	CNT
GENE.61299	984
GENE.14174	30454
GENE.59179	82696
GENE.52901	4272
GENE.54977	104248
GENE.36535	8372
GENE.33364	22040
GENE.382	10694
GENE.44503	23018
GENE.37096	41972
GENE.49180	3308
GENE.40400	11604
GENE.1302	13270
GENE.39587	4310
GENE.13613	254
GENE.42190	26798
GENE.44465	158
GENE.52944	1150
GENE.79987	15612
GENE.82410	1868
GENE.28085	19212
GENE.76330	696
GENE.40550	2562
GENE.19563	388
GENE.10335	3718
GENE.12815	3642
GENE.60916	1394
GENE.9214	4308
GENE.58300	2754
GENE.11985	12050
GENE.80031	155818
GENE.11411	44126
GENE.76390	84362
GENE.49255	3524
GENE.64449	3940
GENE.73227	24738
GENE.63623	2956
GENE.85034	17972
GENE.20596	1494
GENE.36507	331006
GENE.80959	1698
GENE.57375	332
GENE.62688	6846
GENE.14905	13354
GENE.16056	102690
GENE.53826	2042
GENE.80411	2366
GENE.49303	2290
GENE.64002	1578
GENE.76574	1928
GENE.11902	26130
GENE.78635	1532
GENE.30665	55202
GENE.71048	12210
GENE.33008	17280
GENE.63003	108416
GENE.84359	10642
GENE.54928	3722
GENE.30828	4214
GENE.32899	1280
GENE.36601	6932
GENE.72611	63024
GENE.30275	2502
GENE.17641	6564
GENE.3976	3382
GENE.29318	1404
GENE.58335	56266
GENE.85377	21566
GENE.48983	90518
GENE.67051	6384
GENE.7175	180
GENE.20974	676
GENE.51171	11914
GENE.32483	446620
GENE.73348	1098
GENE.46982	872
GENE.26280	39044
GENE.72069	82358
GENE.12390	2708
GENE.57611	1124
GENE.32587	302
GENE.5290	946
GENE.35651	60546
GENE.24794	14960
GENE.46371	573966
GENE.54827	552
GENE.61514	385474
GENE.37070	108
GENE.64664	9370
GENE.28049	4796
GENE.53388	1878
GENE.74812	49732
GENE.16241	18008
GENE.63398	13146
GENE.18285	2682
GENE.81104	436738
GENE.70790	168774
GENE.58819	6198
GENE.17298	5906
GENE.37585	3894
GENE.40963	1926
GENE.74666	12226
GENE.39326	6252
GENE.16819	4202
GENE.11033	4558
GENE.10975	164
GENE.26341	682
GENE.42138	3194
GENE.16985	1292
GENE.55013	184542
GENE.61403	14
GENE.23460	8092
GENE.12264	2758
GENE.44554	1304
GENE.33329	31148
GENE.86161	766
GENE.65763	3280
GENE.8137	96486
GENE.84920	5344
GENE.62433	1860
GENE.76043	32112
GENE.1792	81610
GENE.38252	195930
GENE.78117	9314
GENE.42666	1510
GENE.73920	112874
GENE.58299	44
GENE.79161	788
GENE.11652	4466
GENE.61292	3384
GENE.11355	30924
GENE.85305	2430
GENE.11752	1960
GENE.19235	57822
GENE.30637	1076
GENE.19382	3486
GENE.21892	1110
GENE.27150	30550
GENE.69133	2268
GENE.7104	1366
GENE.36635	5206
GENE.31194	3420
GENE.87130	140172
GENE.57198	8636
GENE.76528	43384
GENE.64908	36032
GENE.78469	78756
GENE.43487	15442
GENE.33116	14264
GENE.30283	77124
GENE.15925	23368
GENE.15466	3920
GENE.83155	1474
GENE.61188	2534
GENE.30251	6150
GENE.61833	99036
GENE.78613	544
GENE.75466	14330
GENE.79816	131078
GENE.23930	326170
GENE.84793	47408
GENE.34626	1924
GENE.57253	84980
GENE.75803	476
GENE.35632	1292
GENE.84817	5528
GENE.58962	3974
GENE.46282	30180
GENE.26222	38854
GENE.34826	73550
GENE.63999	4850
GENE.71873	36756
GENE.67185	484
GENE.61696	3616
GENE.46351	7324
GENE.82211	66760
GENE.65448	27332
GENE.971	108332
GENE.51958	66492
GENE.20514	15958
GENE.61638	64924
GENE.56279	12218
GENE.58544	114520
GENE.55330	68506
GENE.52156	1036
GENE.83323	1698
GENE.5189	34658
GENE.49604	36874
GENE.14551	5540
GENE.66217	63194
GENE.81539	1814
GENE.11094	9734
GENE.8443	7544
GENE.44304	334178
GENE.59887	500
GENE.86187	1428
GENE.50572	26978
GENE.38386	1694
GENE.18669	23416
GENE.40557	522
GENE.47345	844
GENE.75035	8288
GENE.68854	15810
GENE.19520	22
GENE.80190	9536
GENE.2367	4878
GENE.57619	113094
GENE.54532	1038
GENE.80391	19934
GENE.52236	33302
GENE.62062	51034
GENE.32161	205664
GENE.79356	1914
GENE.7748	4930
GENE.55161	1736
GENE.75931	1328
GENE.15827	89774
GENE.6769	6722
GENE.65188	6146
GENE.49399	294114
GENE.6256	41192
GENE.24688	4252
GENE.36129	3130
GENE.66566	127046
GENE.57013	2308
GENE.12078	1648
GENE.82914	14778
GENE.25722	202918
GENE.31559	3402
GENE.26881	458
GENE.54295	4580
GENE.71149	30938
GENE.33778	2464
GENE.55046	138
GENE.83940	95914
GENE.23014	68952
GENE.661	4288
GENE.67768	4534
GENE.44852	1760
GENE.2047	234
GENE.32596	42312
GENE.17926	37924
GENE.39241	3456
GENE.29675	92256
GENE.8322	4368
GENE.17912	137672
GENE.34390	678
GENE.20917	3866
GENE.81593	48552
GENE.11282	4348
GENE.3498	3598
GENE.31848	12182
GENE.13866	6814
GENE.45364	119436
GENE.69503	23994
GENE.70049	3828
GENE.84620	4026
GENE.76378	1008
GENE.64821	2984
GENE.39010	8338
GENE.27457	5130
GENE.43274	6232
GENE.82822	3620
GENE.85523	7818
GENE.22605	2954
GENE.61659	548084
GENE.40685	15622
GENE.10177	1208
GENE.24606	9350
GENE.550	58274
GENE.38655	400
GENE.85987	3592
GENE.84006	201824
GENE.45926	37258
GENE.43447	3868
GENE.78518	4508
GENE.14664	48342
GENE.83100	157916
GENE.80698	2018
GENE.2143	5856
GENE.68569	14798
GENE.52522	309118
GENE.36727	45666
GENE.32312	194
GENE.9764	8
GENE.13129	1322
GENE.15840	19772
GENE.7237	1422
GENE.28312	20
GENE.36084	680
GENE.53773	408
GENE.38349	1338
GENE.15385	4296
GENE.40565	149986
GENE.65247	5594
GENE.83705	45528
GENE.18485	62878
GENE.87389	6424
GENE.31954	326232
GENE.12684	56330
GENE.48243	5324
GENE.26814	41726
GENE.68278	40992
GENE.63748	104968
GENE.77930	1566
GENE.87009	23076
GENE.21192	6738
GENE.50589	246708
GENE.32055	17048
GENE.29659	15364
GENE.3596	1574
GENE.78840	18074
GENE.6966	8642
GENE.59556	3652
GENE.83784	9506
GENE.5238	240
GENE.39376	4002
GENE.79737	107026
GENE.34199	7794
GENE.8505	50656
GENE.17082	9080
GENE.61012	47324
GENE.27454	18704
GENE.3429	10112
GENE.23169	1048
GENE.65673	186468
GENE.37835	4568
GENE.37810	608
GENE.68213	2258
GENE.14826	4262
GENE.12518	446
GENE.7784	568
GENE.58406	108234
GENE.30878	1082
GENE.40993	632
GENE.70201	11516
GENE.48407	5896
GENE.45583	6706
GENE.15237	92272
GENE.2811	215900
GENE.8770	656
GENE.30041	524
GENE.81677	766
GENE.77067	8810
GENE.1032	7900
GENE.23737	42
GENE.70310	606
GENE.29546	5208
GENE.43154	9124
GENE.40265	66798
GENE.15432	30762
GENE.19266	544542
GENE.83198	3108
GENE.86757	2506
GENE.31117	15276
GENE.32223	14258
GENE.21116	7468
GENE.59768	818
GENE.57354	49734
GENE.52433	13186
GENE.66652	50360
GENE.45275	23722
GENE.29834	289018
GENE.35006	44718
GENE.36270	135686
GENE.53803	20844
GENE.85968	36
GENE.60062	354
GENE.72045	3808
GENE.42687	496
GENE.6379	826
GENE.37419	1344
GENE.6920	5402
GENE.23763	950
GENE.33246	15204
GENE.41805	13948
GENE.14986	28730
GENE.55637	2854
GENE.27048	5290
GENE.85921	658
GENE.33597	39532
GENE.3801	32604
GENE.66725	550
GENE.78375	3902
GENE.19197	6004
GENE.64200	51070
GENE.70734	4892
GENE.32561	15474
GENE.2747	283932
GENE.23724	114
GENE.74294	2260
GENE.51173	8302
GENE.27030	2184
GENE.7151	1852
GENE.16480	9618
GENE.83405	231088
GENE.22525	1140
GENE.56556	10056
GENE.44103	2086
GENE.47783	2138
GENE.18523	42438
GENE.46387	61422
GENE.76344	598
GENE.77282	6598
GENE.82490	8790
GENE.41812	1532
GENE.70849	2898
GENE.69392	98842
GENE.23146	23004
GENE.59018	8458
GENE.62625	11406
GENE.82846	5268
GENE.29589	21614
GENE.19703	1998
GENE.39029	4132
GENE.25360	906
GENE.58860	2680
GENE.19652	4980
GENE.75081	9884
GENE.83734	4398
GENE.42522	328
GENE.71279	59074
GENE.72211	312
GENE.11936	3068
GENE.74891	54708
GENE.28090	9926
GENE.15116	14440
GENE.85398	52696
GENE.83166	23068
GENE.58261	91336
GENE.9882	3922
GENE.21658	2916
GENE.30737	1254
GENE.50806	14700
GENE.18517	9718
GENE.53564	240
GENE.57477	6952
GENE.25358	17616
GENE.22777	2060
GENE.61963	33052
GENE.43935	2724
GENE.1066	139420
GENE.6599	30452
GENE.72192	2426
GENE.4167	77004
GENE.8251	4972
GENE.4601	16204
GENE.53342	26676
GENE.22718	7442
GENE.71658	19088
GENE.63186	13592
GENE.43295	25944
GENE.28213	132
GENE.70079	5496
GENE.38802	920
GENE.37159	1366
GENE.48236	720
GENE.38235	55924
GENE.52380	95376
GENE.87275	1998
GENE.74496	258444
GENE.25844	8266
GENE.45201	69716
GENE.51804	14800
GENE.24811	1436
GENE.48066	15456
GENE.34451	34316
GENE.7454	1810
GENE.6517	2476
GENE.1097	107986
GENE.50270	2592
GENE.28437	19468
GENE.1007	5558
GENE.76823	1326
GENE.16189	1290
GENE.37647	44888
GENE.67843	11136
GENE.68124	52158
GENE.85380	61954
GENE.67451	2196
GENE.39075	8948
GENE.23952	173232
GENE.59004	100468
GENE.53978	656
GENE.48846	9118
GENE.44361	7500
GENE.11731	47200
GENE.30391	5436
GENE.53642	1040
GENE.15289	31914
GENE.83618	83870
GENE.4073	20334
GENE.17854	38418
GENE.32181	1456
GENE.28146	1940
GENE.86501	56202
GENE.34128	4590
GENE.61396	266386
GENE.2352	2940
GENE.7983	162028
GENE.78420	157274
GENE.4832	3332
GENE.30633	13554
GENE.82696	28040
GENE.70152	6734
GENE.6307	120222
GENE.20362	5160
GENE.56658	1644
GENE.63232	306
GENE.3035	4036
GENE.42121	17976
GENE.52238	3192
GENE.24966	2286
GENE.15270	2434
GENE.3930	3654
GENE.12061	1852
GENE.31134	35010
GENE.40659	2342
GENE.77985	20600
GENE.77060	980
GENE.51431	114050
GENE.27937	1496
GENE.75470	4554
GENE.68235	586
GENE.43625	13154
GENE.18574	96680
GENE.85436	26618
GENE.15342	2782
GENE.79793	505748
GENE.34898	7896
GENE.81151	5948
GENE.73532	4888
GENE.20620	1116
GENE.79604	3320
GENE.27401	1394
GENE.7837	1322
GENE.51083	98254
GENE.55216	78874
GENE.36096	918
GENE.12829	7012
GENE.75430	100292
GENE.31627	58498
GENE.83918	143270
GENE.34599	8092
GENE.54954	3364
GENE.38304	3730
GENE.85509	558
GENE.39540	1124
GENE.44572	7586
GENE.83969	21964
GENE.62125	920
GENE.42252	4100
GENE.155	886
GENE.55289	24394
GENE.30371	82978
GENE.18019	6264
GENE.76552	9816
GENE.6449	140442
GENE.15884	138
GENE.36349	48136
GENE.3948	42574
GENE.16021	7476
GENE.11246	38942
GENE.78183	1622
GENE.22304	9564
GENE.52168	1484
GENE.17436	15848
GENE.64474	674
GENE.13645	4226
GENE.21007	3176
GENE.11433	12
GENE.52147	3306
GENE.4302	4500
GENE.27324	26
GENE.44672	2138
GENE.55919	84604
GENE.61166	148
GENE.55517	914
GENE.73733	2902
GENE.6905	16650
GENE.44205	98632
GENE.57160	11716
GENE.22145	3080
GENE.35688	922
GENE.35106	8830
GENE.59736	598
GENE.60138	4008
GENE.49690	93244
GENE.46142	11258
GENE.35020	9448
GENE.47637	44340
GENE.6693	196
GENE.83864	49980
GENE.68894	28476
GENE.982	100
GENE.46099	600
GENE.25641	13892
GENE.34334	236
GENE.18323	2918
GENE.13698	171258
GENE.85800	188208
GENE.10389	632
GENE.10239	69576
GENE.64139	27598
GENE.54246	28094
GENE.43212	26708
GENE.42634	40656
GENE.65917	61622
GENE.61920	2508
GENE.9861	2654
GENE.9829	2434
GENE.80406	52518
GENE.32607	8650
GENE.24641	1772
GENE.65527	2262
GENE.46497	89640
GENE.77457	62002
GENE.16450	2338
GENE.66706	76056
GENE.70090	4298
GENE.50374	83942
GENE.39417	1290
GENE.48937	166306
GENE.49999	33902
GENE.30534	1054
GENE.85020	1680
GENE.23669	3244
GENE.17158	3886
GENE.74195	2146
GENE.34327	532
GENE.6347	165028
GENE.61247	67776
GENE.37856	1198
GENE.6011	8778
GENE.71050	222206
GENE.4273	96994
GENE.42899	29754
GENE.68694	40186
GENE.68322	3752
GENE.68998	32826
GENE.86973	152
GENE.35198	2650
GENE.13131	66
GENE.22295	110774
GENE.86902	2326
GENE.2354	48296
GENE.32112	24494
GENE.10240	150814
GENE.31678	472580
GENE.37533	1934
GENE.5911	3688
GENE.79297	494
GENE.84283	6994
GENE.25684	8990
GENE.54442	15798
GENE.82754	1330
GENE.85432	130548
GENE.60029	704
GENE.78395	14678
GENE.159	220
GENE.84729	58682
GENE.56067	12148
GENE.60395	63734
GENE.81026	634
GENE.40410	4318
GENE.77608	71922
GENE.42175	5094
GENE.31752	42450
GENE.6060	19020
GENE.65354	23726
GENE.48025	2340
GENE.27536	50300
GENE.73378	484
GENE.26264	162032
GENE.24086	6906
GENE.50779	159664
GENE.43222	129998
GENE.66911	782
GENE.70106	1532
GENE.22738	2886
GENE.3438	7418
GENE.76530	3276
GENE.55590	94648
GENE.70163	198
GENE.60786	20176
GENE.36829	1196
GENE.44841	4986
GENE.56781	57610
GENE.57134	7112
