gene	CNT
GENE.11902	25726
GENE.78635	1378
GENE.30665	53696
GENE.33008	15990
GENE.71048	11096
GENE.63003	113524
GENE.54928	3830
GENE.84359	10094
GENE.32899	964
GENE.30828	3788
GENE.36601	6474
GENE.72611	62566
GENE.30275	2148
GENE.17641	6582
GENE.3976	3046
GENE.29318	1244
GENE.58335	57312
GENE.48983	91240
GENE.85377	21324
GENE.67051	6364
GENE.7175	182
GENE.20974	540
GENE.51171	11326
GENE.32483	464876
GENE.73348	804
GENE.46982	828
GENE.26280	40012
GENE.72069	78070
GENE.12390	2574
GENE.5290	802
GENE.32587	258
GENE.57611	1018
GENE.35651	61076
GENE.24794	14750
GENE.46371	606026
GENE.54827	310
GENE.61514	394802
GENE.37070	96
GENE.64664	8486
GENE.28049	4384
GENE.53388	1600
GENE.16241	17062
GENE.74812	49054
GENE.63398	12156
GENE.18285	2462
GENE.70790	169078
GENE.81104	445772
GENE.58819	5956
GENE.17298	5682
GENE.37585	3374
GENE.40963	1658
GENE.74666	12584
GENE.39326	5476
GENE.16819	3960
GENE.11033	4136
GENE.10975	168
GENE.26341	480
GENE.42138	3184
GENE.16985	1188
GENE.55013	190862
GENE.61403	6
GENE.12264	2592
GENE.23460	7056
GENE.44554	1174
GENE.33329	30228
GENE.86161	638
GENE.65763	2932
GENE.8137	93738
GENE.84920	4886
GENE.62433	1702
GENE.76043	31242
GENE.1792	79282
GENE.38252	198378
GENE.78117	9474
GENE.42666	1208
GENE.73920	113294
GENE.58299	26
GENE.79161	694
GENE.11652	4136
GENE.61292	2776
GENE.11355	28728
GENE.85305	2392
GENE.11752	1746
GENE.19235	58622
GENE.30637	920
GENE.19382	3242
GENE.21892	1002
GENE.27150	29650
GENE.31194	3282
GENE.36635	5038
GENE.7104	1108
GENE.69133	2064
GENE.87130	141110
GENE.57198	8716
GENE.76528	43872
GENE.64908	35796
GENE.78469	75372
GENE.33116	13138
GENE.43487	14350
GENE.30283	75808
GENE.15925	22522
GENE.30251	5616
GENE.61188	2062
GENE.15466	3262
GENE.83155	1326
GENE.61833	96824
GENE.78613	550
GENE.75466	13918
GENE.79816	130022
GENE.23930	326526
GENE.84793	47080
GENE.34626	1748
GENE.57253	85608
GENE.75803	396
GENE.84817	5056
GENE.35632	1082
GENE.58962	3726
GENE.46282	30808
GENE.26222	39496
GENE.34826	72294
GENE.63999	4510
GENE.71873	34394
GENE.67185	430
GENE.61696	3214
GENE.46351	7002
GENE.82211	67840
GENE.65448	26420
GENE.971	106406
GENE.51958	63466
GENE.20514	16812
GENE.61638	61930
GENE.56279	11048
GENE.58544	112648
GENE.55330	71226
GENE.52156	1010
GENE.83323	1592
GENE.5189	34806
GENE.49604	36168
GENE.14551	5170
GENE.66217	62694
GENE.81539	1642
GENE.11094	9438
GENE.8443	6776
GENE.44304	328428
GENE.59887	238
GENE.86187	1156
GENE.50572	26562
GENE.38386	1554
GENE.18669	22332
GENE.40557	354
GENE.47345	622
GENE.75035	8182
GENE.68854	15998
GENE.19520	6
GENE.80190	9418
GENE.2367	4418
GENE.57619	112322
GENE.54532	650
GENE.80391	18914
GENE.52236	31988
GENE.62062	50758
GENE.32161	214944
GENE.79356	1682
GENE.7748	4424
GENE.55161	1376
GENE.75931	1118
GENE.15827	91772
GENE.65188	5532
GENE.6769	5856
GENE.49399	301546
GENE.6256	42986
GENE.24688	4218
GENE.36129	2946
GENE.66566	128004
GENE.12078	1426
GENE.57013	2236
GENE.82914	14846
GENE.25722	210784
GENE.31559	2982
GENE.26881	430
GENE.54295	4184
GENE.71149	29492
GENE.33778	2200
GENE.55046	74
GENE.83940	99198
GENE.23014	67428
GENE.661	4132
GENE.67768	3968
GENE.44852	1584
GENE.2047	172
GENE.32596	40614
GENE.17926	36362
GENE.39241	3250
GENE.29675	91050
GENE.8322	4198
GENE.17912	139018
GENE.34390	670
GENE.20917	3220
GENE.81593	46096
GENE.11282	3790
GENE.3498	3244
GENE.13866	5714
GENE.31848	12202
GENE.45364	119096
GENE.69503	23796
GENE.70049	3446
GENE.84620	3690
GENE.76378	952
GENE.64821	2910
GENE.39010	7886
GENE.27457	4462
GENE.43274	5982
GENE.82822	3326
GENE.85523	7528
GENE.22605	2418
GENE.61659	568216
GENE.40685	14482
GENE.10177	446
GENE.24606	8332
GENE.550	60594
GENE.38655	372
GENE.85987	3178
GENE.84006	204284
GENE.43447	3480
GENE.45926	35714
GENE.78518	3694
GENE.80698	1784
GENE.14664	47788
GENE.83100	162938
GENE.2143	5332
GENE.68569	13970
GENE.52522	317346
GENE.36727	45012
GENE.32312	188
GENE.9764	2
GENE.13129	1220
GENE.15840	18976
GENE.7237	1240
GENE.28312	30
GENE.36084	604
GENE.53773	366
GENE.38349	1212
GENE.15385	3822
GENE.40565	146038
GENE.65247	4974
GENE.83705	44618
GENE.18485	62122
GENE.87389	5462
GENE.12684	54398
GENE.31954	336616
GENE.48243	5132
GENE.26814	40032
GENE.68278	39718
GENE.63748	102806
GENE.77930	1526
GENE.21192	6092
GENE.87009	21926
GENE.50589	247230
GENE.32055	17536
GENE.29659	15146
GENE.3596	1476
GENE.78840	17026
GENE.6966	7870
GENE.59556	3332
GENE.83784	8618
GENE.5238	216
GENE.39376	3606
GENE.79737	105672
GENE.34199	7162
GENE.8505	49714
GENE.17082	8008
GENE.61012	46530
GENE.27454	17910
GENE.3429	9948
GENE.23169	846
GENE.65673	183576
GENE.37835	4472
GENE.37810	446
GENE.68213	1982
GENE.14826	4016
GENE.12518	392
GENE.7784	496
GENE.58406	108048
GENE.40993	534
GENE.30878	988
GENE.70201	11506
GENE.48407	5480
GENE.45583	6232
GENE.15237	95350
GENE.2811	215062
GENE.30041	452
GENE.8770	558
GENE.81677	372
GENE.77067	8470
GENE.1032	7310
GENE.23737	36
GENE.70310	560
GENE.29546	4516
GENE.43154	9132
GENE.40265	65806
GENE.15432	30758
GENE.19266	562126
GENE.83198	2660
GENE.86757	2308
GENE.31117	14014
GENE.32223	13726
GENE.21116	6964
GENE.59768	612
GENE.57354	51406
GENE.52433	12720
GENE.66652	50018
GENE.45275	23478
GENE.29834	301968
GENE.35006	45198
GENE.36270	134114
GENE.53803	19220
GENE.85968	28
GENE.60062	292
GENE.72045	3564
GENE.42687	486
GENE.6379	794
GENE.37419	1268
GENE.6920	5260
GENE.23763	858
GENE.33246	14234
GENE.41805	12930
GENE.14986	28582
GENE.55637	2704
GENE.27048	5066
GENE.85921	576
GENE.33597	38824
GENE.3801	32506
GENE.66725	476
GENE.78375	3538
GENE.19197	5670
GENE.64200	50196
GENE.70734	4528
GENE.2747	285980
GENE.32561	15224
GENE.23724	132
GENE.74294	1996
GENE.51173	8110
GENE.27030	1946
GENE.16480	8520
GENE.7151	1654
GENE.83405	230166
GENE.22525	1078
GENE.44103	2058
GENE.47783	1864
GENE.56556	9778
GENE.18523	42092
GENE.46387	63714
GENE.76344	540
GENE.77282	6796
GENE.82490	8124
GENE.70849	2416
GENE.41812	1308
GENE.69392	100178
GENE.23146	22998
GENE.82846	5274
GENE.59018	7560
GENE.29589	20258
GENE.62625	11758
GENE.39029	3412
GENE.19703	1804
GENE.25360	904
GENE.58860	2416
GENE.19652	4220
GENE.75081	8994
GENE.83734	3920
GENE.42522	288
GENE.71279	56198
GENE.72211	264
GENE.11936	2760
GENE.74891	56900
GENE.28090	8674
GENE.83166	21648
GENE.85398	53178
GENE.58261	94258
GENE.15116	13962
GENE.9882	3482
GENE.30737	1076
GENE.21658	2980
GENE.18517	10204
GENE.50806	13848
GENE.53564	214
GENE.25358	17494
GENE.57477	6772
GENE.22777	1890
GENE.61963	31138
GENE.43935	2422
GENE.1066	133554
GENE.6599	29566
GENE.72192	2418
GENE.8251	4600
GENE.4167	78114
GENE.4601	15726
GENE.53342	25670
GENE.22718	6876
GENE.71658	18786
GENE.43295	24150
GENE.63186	13392
GENE.28213	84
GENE.70079	5110
GENE.48236	678
GENE.37159	1280
GENE.38802	830
GENE.52380	94360
GENE.38235	55346
GENE.87275	1872
GENE.74496	264100
GENE.25844	7598
GENE.45201	66864
GENE.24811	1208
GENE.51804	13982
GENE.48066	15532
GENE.34451	34480
GENE.7454	1670
GENE.6517	2162
GENE.1097	111184
GENE.50270	2250
GENE.28437	18180
GENE.1007	4886
GENE.76823	1038
GENE.16189	1222
GENE.67843	10202
GENE.37647	43504
GENE.68124	52390
GENE.85380	59604
GENE.67451	1952
GENE.39075	8788
GENE.23952	174816
GENE.59004	97528
GENE.53978	564
GENE.48846	8074
GENE.44361	6964
GENE.11731	46396
GENE.30391	4558
GENE.53642	898
GENE.83618	81374
GENE.15289	32396
GENE.4073	20040
GENE.17854	36634
GENE.32181	1216
GENE.28146	1712
GENE.86501	53454
GENE.34128	4204
GENE.61396	265728
GENE.2352	2822
GENE.7983	162390
GENE.78420	159584
GENE.4832	3154
GENE.30633	12926
GENE.70152	5798
GENE.82696	26416
GENE.6307	121132
GENE.20362	4660
GENE.63232	290
GENE.56658	1492
GENE.3035	3698
GENE.42121	17904
GENE.52238	2814
GENE.15270	2016
GENE.24966	1876
GENE.3930	3398
GENE.31134	33890
GENE.12061	1650
GENE.40659	2036
GENE.77985	18930
GENE.77060	862
GENE.51431	116752
GENE.27937	1088
GENE.75470	4184
GENE.68235	542
GENE.43625	12358
GENE.18574	98142
GENE.85436	26686
GENE.15342	2400
GENE.79793	527154
GENE.34898	7278
GENE.81151	5918
GENE.73532	5074
GENE.20620	1036
GENE.27401	1348
GENE.79604	2944
GENE.7837	1086
GENE.51083	98032
GENE.55216	78908
GENE.36096	856
GENE.12829	6332
GENE.75430	101280
GENE.31627	57942
GENE.83918	148668
GENE.34599	7214
GENE.54954	3132
GENE.38304	3528
GENE.85509	428
GENE.39540	980
GENE.44572	6458
GENE.83969	22072
GENE.62125	736
GENE.42252	3926
GENE.155	780
GENE.55289	22892
GENE.30371	78658
GENE.18019	6390
GENE.76552	9360
GENE.6449	142300
GENE.15884	90
GENE.3948	40338
GENE.36349	49562
GENE.16021	6900
GENE.11246	37570
GENE.78183	1402
GENE.22304	8952
GENE.52168	1318
GENE.17436	15308
GENE.64474	584
GENE.21007	2864
GENE.13645	4076
GENE.11433	8
GENE.52147	3064
GENE.4302	4128
GENE.27324	40
GENE.44672	1876
GENE.55919	85214
GENE.61166	116
GENE.55517	884
GENE.73733	2666
GENE.6905	15382
GENE.44205	100960
GENE.57160	11362
GENE.22145	3212
GENE.35688	870
GENE.35106	8664
GENE.59736	500
GENE.60138	3566
GENE.49690	93628
GENE.46142	10292
GENE.35020	8312
GENE.47637	43250
GENE.6693	166
GENE.83864	49926
GENE.68894	27582
GENE.46099	490
GENE.982	132
GENE.25641	12820
GENE.34334	186
GENE.18323	2692
GENE.13698	166582
GENE.85800	189110
GENE.10389	430
GENE.10239	70764
GENE.64139	27934
GENE.54246	25988
GENE.43212	24722
GENE.42634	37536
GENE.65917	61494
GENE.9861	2568
GENE.9829	2374
GENE.61920	2182
GENE.80406	52086
GENE.32607	7978
GENE.24641	1660
GENE.65527	1940
GENE.46497	88268
GENE.77457	63854
GENE.16450	1984
GENE.66706	74798
GENE.70090	4178
GENE.50374	81618
GENE.39417	1114
GENE.48937	159606
GENE.49999	33882
GENE.30534	1106
GENE.85020	1682
GENE.23669	3104
GENE.17158	3420
GENE.74195	1836
GENE.34327	486
GENE.6347	167590
GENE.61247	66890
GENE.37856	1054
GENE.6011	9008
GENE.4273	97616
GENE.71050	220802
GENE.42899	30326
GENE.68694	40868
GENE.68322	3128
GENE.68998	31910
GENE.86973	108
GENE.35198	2200
GENE.13131	30
GENE.22295	111650
GENE.86902	2154
GENE.32112	23358
GENE.2354	47946
GENE.10240	147306
GENE.31678	495554
GENE.37533	1728
GENE.5911	3312
GENE.79297	448
GENE.25684	8768
GENE.84283	6302
GENE.82754	1350
GENE.54442	14094
GENE.85432	132308
GENE.60029	686
GENE.78395	13830
GENE.159	126
GENE.84729	58030
GENE.56067	12040
GENE.60395	62374
GENE.81026	576
GENE.40410	3566
GENE.77608	73726
GENE.42175	4198
GENE.31752	43958
GENE.6060	17542
GENE.65354	21620
GENE.48025	2174
GENE.27536	49998
GENE.73378	420
GENE.26264	160228
GENE.24086	6122
GENE.50779	163872
GENE.43222	130910
GENE.66911	708
GENE.70106	1222
GENE.22738	2218
GENE.3438	6456
GENE.76530	3056
GENE.55590	92914
GENE.70163	218
GENE.60786	19234
GENE.36829	1016
GENE.44841	4746
GENE.56781	55438
GENE.57134	6144
GENE.55063	42120
GENE.71058	125124
GENE.3269	6762
GENE.40195	14680
GENE.41756	550
GENE.1533	122
GENE.14790	364
GENE.5047	159306
GENE.41785	11556
GENE.43115	3422
GENE.59532	14440
GENE.7689	3300
GENE.27313	3508
GENE.63107	10338
GENE.66812	6562
GENE.81837	6708
GENE.30498	5804
GENE.6045	32
GENE.40887	102728
GENE.14364	9720
GENE.4212	982
GENE.8393	11954
GENE.87465	14840
GENE.47351	14602
GENE.38149	59302
GENE.77804	940
GENE.67553	30562
GENE.43235	31344
GENE.33983	2068
GENE.87084	1102
GENE.71083	2228
GENE.74227	157904
GENE.6407	5944
GENE.47807	2554
GENE.59876	2752
GENE.48881	40704
GENE.43436	11640
GENE.45869	6768
GENE.8342	35660
GENE.79001	6506
GENE.9350	3708
GENE.46249	53712
GENE.33479	1210
GENE.72020	4670
GENE.80860	1262
GENE.23905	1064
GENE.6957	742
GENE.5128	4150
GENE.23708	6564
GENE.74233	10452
GENE.45729	1390
GENE.51590	79020
GENE.64604	38810
GENE.19498	31288
GENE.49892	68638
GENE.26932	1990
GENE.1683	16688
GENE.51582	1880
GENE.34478	14214
GENE.38072	2860
GENE.57867	1930
GENE.62101	2942
GENE.13790	96848
GENE.67279	4704
GENE.18925	156062
GENE.71635	87952
GENE.53351	4954
GENE.38427	67466
GENE.73689	21944
GENE.74432	465792
GENE.20407	2668
GENE.18126	45662
GENE.25640	31774
GENE.2859	4608
GENE.14213	1998
GENE.74773	109636
GENE.78578	800
GENE.47319	3472
GENE.44609	24516
